hh_id,value,fragile_level
8262677048,"[37.60533905029297, 18.288028717041016]",2.0
2902288815,"[-88.0503158569336, 44.098690032958984]",
7790133818,"[62.55875015258789, 36.15497970581055]",1.0
1444014717,"[-10.155976295471191, 90.5142822265625]",1.0
7727979945,"[-44.59432601928711, 55.78261184692383]",2.0
2581516007,"[-65.52059173583984, 67.18797302246094]",2.0
1418331577,"[91.5036849975586, 39.569664001464844]",2.0
2229506454,"[-72.82975769042969, 41.62493896484375]",
442536436,"[-98.03236389160156, 21.401968002319336]",
2637291300,"[-32.430091857910156, 40.577369689941406]",1.0
5343028987,"[-36.94393539428711, -32.56319046020508]",1.0
254304722,"[-81.22932434082031, 49.154441833496094]",
4332283307,"[10.101855278015137, 43.5671501159668]",2.0
8570896103,"[-26.19508171081543, 77.64077758789062]",2.0
9274719098,"[16.4438419342041, 43.83768081665039]",2.0
1677068227,"[-77.98782348632812, 44.94198226928711]",
2857490331,"[-15.031000137329102, 60.531394958496094]",2.0
1425291409,"[-43.58460235595703, 70.85517120361328]",1.0
4924611840,"[-69.54965209960938, 49.50209045410156]",2.0
2879110803,"[53.0723876953125, 18.755287170410156]",1.0
2156729865,"[13.786747932434082, 55.1296272277832]",1.0
1329963893,"[-74.58936309814453, -1.3963886499404907]",1.0
9791347796,"[33.456451416015625, -82.10440063476562]",2.0
8310191788,"[-75.7061996459961, 51.320072174072266]",
9119581746,"[17.90142822265625, 74.41265869140625]",2.0
561409475,"[26.30695915222168, 34.290992736816406]",2.0
7502274952,"[52.86488723754883, 46.343650817871094]",2.0
7932573822,"[42.77540969848633, 30.4193115234375]",2.0
1002129932,"[13.017119407653809, 95.71539306640625]",1.0
2428175895,"[-13.847352981567383, 89.18048858642578]",2.0
568050766,"[12.027091979980469, 55.6217041015625]",1.0
8991610442,"[-17.524658203125, 63.58465576171875]",2.0
9403568695,"[81.34890747070312, -30.14984130859375]",2.0
9222874812,"[46.237388610839844, 30.854005813598633]",2.0
1221169258,"[31.55431365966797, -93.65693664550781]",2.0
397169673,"[62.15077590942383, 20.170387268066406]",2.0
1750284563,"[56.97157669067383, 44.58201217651367]",2.0
6295912506,"[40.10810089111328, 11.842391014099121]",1.0
933613848,"[-83.74740600585938, 38.66969680786133]",
1561570073,"[-83.36420440673828, -24.30596351623535]",
5360305923,"[-23.830936431884766, 57.29045104980469]",2.0
1837769548,"[29.84200096130371, -97.0267105102539]",2.0
3298760398,"[23.251352310180664, 57.89566421508789]",1.0
2402528647,"[24.268142700195312, 73.10563659667969]",1.0
1571199044,"[-10.471587181091309, 13.973042488098145]",1.0
1270733918,"[-59.363189697265625, 62.61273193359375]",2.0
3452543400,"[-18.256622314453125, -0.17687377333641052]",1.0
7437600597,"[-10.750173568725586, 74.01364135742188]",2.0
157686662,"[62.228309631347656, -49.6277961730957]",2.0
7738206811,"[68.20626831054688, -37.94989776611328]",2.0
8371823029,"[26.822654724121094, 40.354610443115234]",2.0
9654847758,"[-15.984905242919922, 74.86201477050781]",1.0
1349168179,"[-8.205470085144043, 81.70050811767578]",2.0
283148229,"[18.59943389892578, 72.9875717163086]",2.0
3730431369,"[-13.434693336486816, 58.43077087402344]",2.0
156630180,"[54.09626770019531, 38.962276458740234]",2.0
9061076423,"[18.812885284423828, 43.767250061035156]",2.0
3002253629,"[16.048006057739258, -64.97161102294922]",2.0
8443363857,"[16.765039443969727, 92.3453369140625]",1.0
4880114672,"[59.1451301574707, 35.968589782714844]",2.0
216396370,"[-0.7496948838233948, 64.74270629882812]",1.0
3991118067,"[27.83608055114746, 91.63935852050781]",2.0
5086161708,"[23.780134201049805, -65.2563705444336]",2.0
883858927,"[33.511207580566406, 36.420902252197266]",2.0
9780369606,"[-57.02311706542969, 48.834049224853516]",2.0
6737928936,"[36.896366119384766, -101.69735717773438]",1.0
3343083811,"[6.058726787567139, -7.8874406814575195]",1.0
4609728998,"[-50.303977966308594, 72.61463928222656]",2.0
3233872015,"[-1.293285608291626, 20.845006942749023]",2.0
2279197735,"[-84.05274963378906, 35.30172348022461]",
7470782326,"[22.397647857666016, 93.26321411132812]",1.0
5539583749,"[-63.487979888916016, 57.60718536376953]",
8792193840,"[-71.9891586303711, 43.981441497802734]",
9060153259,"[-1.7372257709503174, 13.924697875976562]",2.0
7027715687,"[-84.03599548339844, 43.508846282958984]",
5306171586,"[-29.952938079833984, 49.145423889160156]",2.0
2502194230,"[35.18879318237305, 39.738670349121094]",2.0
8277815259,"[37.7582893371582, 36.85627746582031]",2.0
9040315418,"[-29.103137969970703, 21.550838470458984]",2.0
132047660,"[3.883742332458496, 1.603258728981018]",2.0
364176765,"[4.903237342834473, 32.17683410644531]",1.0
9991368079,"[31.279298782348633, 78.10807800292969]",2.0
9264290232,"[55.00083541870117, 31.704181671142578]",1.0
7743494738,"[14.988534927368164, 36.863990783691406]",1.0
6108724505,"[46.77847671508789, 32.13821029663086]",2.0
222141244,"[-12.314558029174805, 73.63800048828125]",2.0
7374727658,"[-72.14990997314453, 44.346580505371094]",1.0
2326008844,"[12.469386100769043, 67.21382141113281]",2.0
5321157117,"[-82.73204040527344, 45.7332763671875]",
243407470,"[-87.88143920898438, 40.71733093261719]",
1090362214,"[-1.978995442390442, 66.61840057373047]",2.0
6525773647,"[-78.53136444091797, 39.720184326171875]",
5178485034,"[-19.764280319213867, 37.49850845336914]",2.0
4806520026,"[74.00092315673828, -30.60171890258789]",2.0
7472299699,"[36.20807647705078, 33.47224807739258]",2.0
2726128591,"[7.802992343902588, -64.25838470458984]",2.0
2018185301,"[24.929153442382812, 31.492740631103516]",1.0
151070731,"[74.30052185058594, -33.410911560058594]",2.0
3055508841,"[38.420711517333984, 78.25680541992188]",1.0
7354717592,"[14.922897338867188, -96.94902801513672]",2.0
1229563058,"[13.520538330078125, 65.30339813232422]",1.0
400850463,"[-30.46613883972168, 90.52448272705078]",2.0
6164118658,"[-10.311227798461914, 48.162269592285156]",1.0
3508508892,"[1.483886480331421, 92.6532211303711]",2.0
7298507330,"[45.1276969909668, 29.04486083984375]",2.0
7845954930,"[10.530275344848633, 85.15335083007812]",2.0
9154486204,"[-11.632389068603516, 66.27450561523438]",1.0
500898873,"[47.499595642089844, 48.24015426635742]",2.0
600243650,"[-5.581756114959717, 24.969709396362305]",1.0
3792659986,"[-8.072233200073242, 72.54792022705078]",1.0
677006012,"[-2.443459987640381, 85.99335479736328]",1.0
6624903552,"[-12.0385160446167, 51.600807189941406]",2.0
7899337837,"[-52.62956619262695, 44.4829216003418]",2.0
7194933059,"[22.404794692993164, 40.748077392578125]",1.0
5172056880,"[71.4500732421875, 34.191917419433594]",2.0
3945304270,"[53.31434631347656, 13.28248119354248]",2.0
9952201657,"[12.250170707702637, 45.55418014526367]",2.0
7867021242,"[10.566587448120117, 41.42674255371094]",2.0
7621219449,"[86.45451354980469, 9.293977737426758]",2.0
2927251583,"[-82.75006103515625, 37.968814849853516]",
5754818629,"[-23.21497344970703, 55.943233489990234]",1.0
2045266897,"[-88.0040283203125, 12.321756362915039]",
555875716,"[32.26893997192383, 63.306396484375]",1.0
5748410509,"[-31.425981521606445, 31.754575729370117]",2.0
6769310972,"[102.89654541015625, 25.31555938720703]",2.0
471777900,"[-13.556925773620605, 58.100154876708984]",2.0
6390867937,"[36.62553787231445, 31.647274017333984]",2.0
2414194316,"[-46.84233856201172, 69.25538635253906]",2.0
7147818426,"[-3.7665209770202637, 39.377044677734375]",2.0
9701616349,"[18.508373260498047, 52.51080322265625]",1.0
7958825681,"[87.44921112060547, 19.07076072692871]",1.0
3541524299,"[-39.55812454223633, 70.5772705078125]",1.0
6074595290,"[17.927152633666992, 67.29176330566406]",2.0
995502691,"[11.609206199645996, 88.86984252929688]",2.0
3610297913,"[23.387935638427734, 70.8755111694336]",2.0
8403599030,"[101.17259979248047, 22.265541076660156]",2.0
171351009,"[25.216917037963867, -93.39498138427734]",1.0
5331752796,"[73.90424346923828, 12.751887321472168]",2.0
8238779874,"[-89.67867279052734, 36.03773880004883]",
5999938796,"[1.1768436431884766, -96.11914825439453]",2.0
3596799047,"[28.336397171020508, 62.27892303466797]",1.0
8697300014,"[49.010154724121094, 2.4527080059051514]",2.0
7977336677,"[5.832921981811523, 65.05021667480469]",2.0
9276040758,"[35.70414352416992, -96.76988983154297]",1.0
737139044,"[10.553595542907715, -102.79833221435547]",2.0
6936184474,"[-44.520389556884766, 36.471683502197266]",2.0
1318115278,"[-64.72085571289062, 59.732521057128906]",2.0
4210260035,"[15.267532348632812, -1.309696912765503]",2.0
7386242517,"[81.5011978149414, -3.7702319622039795]",2.0
4488766477,"[25.014049530029297, -85.64783477783203]",2.0
9523312942,"[21.760517120361328, 34.10839080810547]",2.0
859955570,"[-97.17290496826172, 23.032241821289062]",
8600647783,"[37.9774169921875, 44.83898162841797]",2.0
7647578040,"[-55.086753845214844, 65.03257751464844]",2.0
1888854068,"[-87.96675109863281, 39.619468688964844]",
7209585291,"[-15.135519027709961, 48.25054168701172]",2.0
4813699917,"[33.98713684082031, 63.9904670715332]",2.0
2815245814,"[21.891538619995117, 50.92684555053711]",1.0
5419296277,"[-30.241329193115234, 52.69097137451172]",2.0
5206871473,"[22.943927764892578, 42.172767639160156]",2.0
12566398,"[23.544221878051758, -89.6776123046875]",1.0
211663633,"[-14.33055305480957, 58.8730583190918]",2.0
8156878748,"[-4.483367443084717, 16.071725845336914]",1.0
1392488781,"[-35.484378814697266, 62.650089263916016]",2.0
9799721976,"[26.56103515625, 19.123855590820312]",2.0
7593172714,"[-8.741926193237305, 20.73226547241211]",2.0
6990280870,"[24.35242462158203, 54.06885528564453]",2.0
8304860363,"[69.56891632080078, -22.942468643188477]",1.0
4710805649,"[91.22579193115234, 17.6268367767334]",3.0
3921522937,"[-13.70709228515625, 34.87718963623047]",2.0
4851473400,"[-0.5956621170043945, 44.96644592285156]",1.0
7388036058,"[40.82509231567383, 73.76460266113281]",1.0
5308224304,"[4.386716842651367, 76.63084411621094]",1.0
8487409142,"[-1.3319717645645142, -71.03828430175781]",2.0
2603675933,"[63.81244659423828, 42.11491394042969]",2.0
4455285644,"[-18.20637321472168, 89.6440200805664]",2.0
4047198186,"[-27.36911392211914, 31.973846435546875]",2.0
4175221154,"[-5.770605087280273, -83.18603515625]",2.0
2346759222,"[-13.589400291442871, 83.0552749633789]",1.0
3297155620,"[59.82524871826172, -3.317352533340454]",2.0
7556165114,"[33.32371520996094, 61.785423278808594]",2.0
5311291786,"[19.45786476135254, 76.89486694335938]",2.0
6830244869,"[50.82630920410156, 24.724807739257812]",1.0
786764230,"[16.68810272216797, 26.77818489074707]",2.0
875747937,"[-72.12301635742188, 48.14398956298828]",
6919838003,"[-3.342170238494873, 10.860923767089844]",1.0
9006225568,"[-0.20623889565467834, 57.818931579589844]",2.0
4968367572,"[40.02608108520508, 34.92921447753906]",2.0
5432887642,"[-84.14032745361328, 43.300758361816406]",
4455787904,"[71.16169738769531, 42.11226272583008]",2.0
6131815065,"[-31.756019592285156, 81.66804504394531]",1.0
5634168053,"[26.950246810913086, 60.522918701171875]",1.0
7731867134,"[37.910614013671875, 80.6527328491211]",1.0
2272733608,"[56.66447067260742, 31.569992065429688]",2.0
9250228041,"[8.557097434997559, 87.60974884033203]",2.0
8765560570,"[36.861724853515625, 24.56437110900879]",1.0
7242055777,"[-9.43811321258545, 94.11002349853516]",2.0
4382370294,"[19.04877281188965, 64.11177825927734]",2.0
245274202,"[26.634000778198242, 87.7265396118164]",1.0
9651986238,"[22.411394119262695, -102.66183471679688]",2.0
4899547230,"[-41.2833137512207, 10.714232444763184]",2.0
1494054433,"[-72.64797973632812, 38.16084289550781]",
7082200858,"[66.3809585571289, 53.01518249511719]",1.0
3448949955,"[23.502513885498047, 55.88301467895508]",2.0
6865722705,"[-13.816423416137695, 43.0540885925293]",1.0
2030701019,"[38.7384147644043, 46.35068893432617]",2.0
565771060,"[30.096817016601562, 39.316898345947266]",2.0
8642270675,"[-46.90634536743164, 77.07303619384766]",1.0
7555302263,"[-36.700042724609375, 56.688133239746094]",2.0
476790839,"[-45.02703094482422, 59.819549560546875]",2.0
8450576247,"[-63.00270080566406, 66.94733428955078]",2.0
2786102753,"[28.851381301879883, 55.707275390625]",2.0
9550660821,"[12.090544700622559, -90.60821533203125]",2.0
9088647784,"[16.066242218017578, -92.20077514648438]",1.0
9139287640,"[27.54269027709961, 34.16680908203125]",2.0
1470035767,"[-82.7671890258789, 46.47837448120117]",
8617500475,"[-48.764862060546875, 47.91495895385742]",2.0
2876199410,"[23.642208099365234, 31.158111572265625]",2.0
6196163901,"[10.983272552490234, 54.313411712646484]",2.0
6900350567,"[70.58379364013672, -29.68790054321289]",2.0
7082947535,"[20.628562927246094, 39.89505386352539]",1.0
5747768244,"[66.09130096435547, 16.89876365661621]",2.0
3720588472,"[3.546041250228882, 75.47978973388672]",2.0
4168120904,"[47.31258010864258, 31.805255889892578]",2.0
2603913618,"[-26.171947479248047, 77.1062240600586]",1.0
9263039425,"[48.411624908447266, 54.4871826171875]",2.0
9505108090,"[19.521276473999023, 81.96611785888672]",1.0
8680218450,"[7.279531002044678, 44.85858154296875]",2.0
1625564480,"[34.239627838134766, 43.301334381103516]",2.0
4277572897,"[-65.6211929321289, 44.45430374145508]",2.0
9769734192,"[21.42731475830078, -93.36479949951172]",2.0
1863255401,"[41.66447067260742, 28.256013870239258]",2.0
5685849680,"[-16.326597213745117, 78.00963592529297]",1.0
8647800850,"[7.842599391937256, 30.25201988220215]",2.0
1943738432,"[-13.42739486694336, 55.83807373046875]",2.0
4785952011,"[-29.402877807617188, 26.21885871887207]",2.0
1444660344,"[30.105262756347656, 37.431968688964844]",2.0
2018815056,"[81.13264465332031, 21.425321578979492]",2.0
2093421369,"[45.56297302246094, 76.03857421875]",2.0
643576436,"[-9.64685344696045, 20.476539611816406]",2.0
5076086362,"[14.621806144714355, 75.51981353759766]",2.0
2842731936,"[-1.2777762413024902, 91.78458404541016]",1.0
6681318348,"[-45.68419647216797, 48.688804626464844]",1.0
4676511759,"[-4.824739456176758, -3.934004306793213]",2.0
8488130684,"[-46.831478118896484, 37.620941162109375]",2.0
2178605067,"[39.367435455322266, 39.99043655395508]",2.0
656135585,"[14.195050239562988, -88.93888854980469]",1.0
6838628295,"[-60.22883605957031, 55.15605545043945]",2.0
452610507,"[42.806129455566406, -30.377655029296875]",1.0
6504563930,"[16.91179656982422, -86.6544418334961]",2.0
5785583801,"[-16.847719192504883, 27.018882751464844]",1.0
5059513339,"[-83.46128845214844, 34.62644958496094]",
601122845,"[-48.73390197753906, 57.37950134277344]",1.0
4519803184,"[46.920318603515625, -90.82300567626953]",2.0
6637606749,"[29.475927352905273, -47.352012634277344]",2.0
9672393671,"[-12.210652351379395, 41.03060531616211]",2.0
4818589321,"[7.086317539215088, 25.590160369873047]",2.0
770405085,"[8.583745002746582, 23.1357421875]",2.0
6915849187,"[-19.491140365600586, 79.19572448730469]",2.0
9705093727,"[9.92815113067627, 39.38941955566406]",2.0
7450919684,"[84.51691436767578, 20.556623458862305]",2.0
2927860627,"[61.368770599365234, 36.36954879760742]",1.0
4088910249,"[39.66753387451172, 14.340522766113281]",1.0
5472165003,"[27.14224624633789, 54.317535400390625]",2.0
5694877843,"[1.1791090965270996, -9.772015571594238]",1.0
6706601353,"[-86.03766632080078, 35.40873336791992]",
3841923680,"[-6.726315021514893, 49.47822570800781]",2.0
4604437308,"[16.868345260620117, 63.063228607177734]",2.0
8634496822,"[-36.18086624145508, -52.035919189453125]",2.0
877772403,"[-56.46803283691406, 42.037052154541016]",1.0
8231271620,"[61.298805236816406, 54.228782653808594]",1.0
8983514808,"[13.178215026855469, -91.21818542480469]",1.0
7584586765,"[38.94855499267578, 6.999513626098633]",2.0
1663950629,"[-30.237150192260742, 42.00313186645508]",2.0
4935182203,"[33.553489685058594, -85.78533172607422]",2.0
2494671174,"[2.381615161895752, 75.1627426147461]",2.0
1826445901,"[22.83856964111328, 7.99273681640625]",2.0
6773930251,"[28.714027404785156, 33.064666748046875]",2.0
7266464271,"[-86.30126190185547, 42.75101852416992]",
9765668826,"[26.78818702697754, -55.266658782958984]",2.0
888402955,"[28.27533531188965, 42.85960006713867]",2.0
8759053688,"[45.1800651550293, 49.63385009765625]",2.0
4382501324,"[-84.24339294433594, -34.40750503540039]",
1333571362,"[-81.6810073852539, 46.98855209350586]",
2505490903,"[-55.971256256103516, 42.281402587890625]",2.0
986571882,"[-96.80496215820312, 18.009613037109375]",
9289484498,"[99.08965301513672, 22.357866287231445]",1.0
3269666803,"[18.44672393798828, 41.18478012084961]",1.0
3862496624,"[14.02861499786377, -86.83412170410156]",2.0
9397639376,"[9.30380630493164, 45.20474624633789]",1.0
8524306831,"[13.605292320251465, 23.286691665649414]",2.0
3795310253,"[-20.77295684814453, 69.33573913574219]",1.0
8415550279,"[-21.009674072265625, 0.21817849576473236]",1.0
2398137410,"[-80.60794067382812, 50.48490905761719]",
7648470586,"[2.7834651470184326, 60.7872200012207]",2.0
2476518577,"[-57.755130767822266, 27.711502075195312]",2.0
889531664,"[-47.39225769042969, 41.16704177856445]",2.0
6404735487,"[-98.3708267211914, 9.226760864257812]",
3997433984,"[104.05947875976562, 23.879959106445312]",3.0
4904991996,"[-32.85441589355469, 83.87848663330078]",2.0
1797706394,"[103.3935546875, 31.06039047241211]",2.0
5890667159,"[79.33235168457031, 17.3465576171875]",2.0
5645340866,"[35.895992279052734, 22.837743759155273]",1.0
2376937395,"[-45.774051666259766, 75.78136444091797]",1.0
2555750636,"[36.76938247680664, 28.148324966430664]",2.0
1503648561,"[23.259912490844727, 57.75128173828125]",2.0
7931635274,"[0.22672022879123688, 56.711883544921875]",2.0
199197185,"[65.2874526977539, 7.620940208435059]",1.0
8026191377,"[25.20411491394043, 64.0765380859375]",2.0
1462269704,"[56.02165222167969, -51.32652282714844]",2.0
8533000107,"[-10.433161735534668, 78.70352935791016]",2.0
8857581397,"[-12.607211112976074, 86.3619384765625]",1.0
3890339515,"[70.60576629638672, 32.724395751953125]",2.0
5628966314,"[-20.932077407836914, 63.50420379638672]",2.0
878936054,"[54.75244903564453, 61.02284622192383]",2.0
1155502711,"[-74.1573257446289, 39.62826919555664]",
231999304,"[39.324195861816406, 23.72086524963379]",2.0
8339020043,"[-16.43634033203125, 62.06993865966797]",2.0
3256165224,"[12.149958610534668, 48.66464614868164]",2.0
2913416995,"[82.39542388916016, -36.76301574707031]",2.0
1001345024,"[34.1225700378418, 53.807960510253906]",1.0
6879298521,"[-39.064910888671875, -33.48757553100586]",1.0
3356798610,"[11.425943374633789, 33.143062591552734]",2.0
6188664806,"[-11.34482192993164, 64.20743560791016]",1.0
6375457965,"[5.168727874755859, 48.837181091308594]",2.0
3104579955,"[58.35908508300781, 19.906187057495117]",2.0
1065835068,"[35.7674674987793, 84.18869018554688]",1.0
8762573711,"[6.88149881362915, -95.77146911621094]",2.0
5310653896,"[-87.2130126953125, 34.13103485107422]",
985167703,"[72.03829956054688, 20.050790786743164]",2.0
5212000992,"[-46.342124938964844, 31.34638214111328]",1.0
1248486588,"[-26.537565231323242, 42.989768981933594]",2.0
132750076,"[-1.8362571001052856, 57.710723876953125]",2.0
8067391695,"[31.80084991455078, -64.70874786376953]",2.0
7678430335,"[-13.958782196044922, 86.32241821289062]",2.0
4047812541,"[22.912431716918945, 66.0753173828125]",2.0
5894149548,"[-81.63984680175781, 45.511024475097656]",
7927868172,"[-39.787078857421875, 75.40726470947266]",1.0
1988405369,"[18.05224609375, 41.93955612182617]",1.0
3842696959,"[21.9383544921875, 40.1545524597168]",2.0
956455421,"[-27.32299041748047, 21.71867561340332]",1.0
3418717240,"[63.40373229980469, -17.080638885498047]",2.0
6389750507,"[19.308244705200195, 78.63455963134766]",1.0
8451844187,"[-60.00897979736328, 65.17335510253906]",2.0
5263735878,"[-72.52239990234375, 45.41853332519531]",
8667981466,"[83.69143676757812, 24.901599884033203]",2.0
2960159567,"[-1.5591024160385132, 88.97967529296875]",2.0
4859557898,"[58.31220626831055, 45.27381134033203]",2.0
2892316297,"[-42.761592864990234, 57.89491271972656]",1.0
3921128636,"[22.864486694335938, 51.02181625366211]",1.0
4959483105,"[22.181941986083984, 75.66160583496094]",2.0
1746313154,"[7.513969421386719, 80.02754974365234]",2.0
5567705673,"[51.0398063659668, 45.97289276123047]",1.0
1443948419,"[2.0001754760742188, 70.66072845458984]",2.0
2602853494,"[10.126195907592773, -7.531919002532959]",2.0
8888370246,"[39.467063903808594, 23.23894691467285]",2.0
2558349055,"[95.61461639404297, 46.01725769042969]",1.0
9724468834,"[53.8167610168457, -43.24274826049805]",2.0
1741137917,"[20.593610763549805, 31.405546188354492]",1.0
1659049007,"[60.243309020996094, 52.24557113647461]",2.0
8893450449,"[28.830745697021484, 44.65941619873047]",2.0
54229507,"[-19.441883087158203, 45.508033752441406]",2.0
7148855278,"[30.900875091552734, 80.51728820800781]",1.0
4306316592,"[50.417118072509766, 2.5700364112854004]",1.0
9419411473,"[-2.9951064586639404, 88.91275787353516]",2.0
4242411235,"[-32.970035552978516, 33.252906799316406]",1.0
8393602319,"[-17.40074920654297, 63.666019439697266]",2.0
9914243909,"[-100.08924865722656, 21.903823852539062]",
7412882142,"[10.119562149047852, 25.676626205444336]",2.0
1102858752,"[50.0639762878418, 29.17201805114746]",2.0
8256971314,"[29.324735641479492, 24.439739227294922]",2.0
7361309905,"[9.982185363769531, 56.61732482910156]",1.0
2780063672,"[-21.97756004333496, 57.242000579833984]",2.0
5475309974,"[-39.09075164794922, 9.418096542358398]",2.0
8649461424,"[-8.831042289733887, 4.175252437591553]",1.0
9513378965,"[16.902395248413086, -3.720858573913574]",2.0
6933811220,"[-5.688263893127441, 52.98699951171875]",1.0
526027824,"[-5.319344997406006, 88.67514038085938]",1.0
7892109185,"[5.0884318351745605, 22.84525489807129]",1.0
1984774425,"[-15.666152000427246, 80.21160125732422]",2.0
276375556,"[18.695024490356445, 76.76060485839844]",2.0
6760035330,"[-63.50395965576172, 60.64845275878906]",2.0
69634513,"[26.506244659423828, -100.78916931152344]",2.0
4848238375,"[38.56151580810547, 5.262307643890381]",2.0
809609857,"[-8.771432876586914, 55.132286071777344]",1.0
8946931322,"[-62.97571563720703, 60.10227966308594]",1.0
5779625533,"[2.3300158977508545, 40.42490768432617]",2.0
5063876947,"[49.65633010864258, -44.24777603149414]",2.0
8780690910,"[-80.12802124023438, 49.6504020690918]",
9434026468,"[-77.9237060546875, 41.7486686706543]",
1367935246,"[25.93195915222168, 71.9738998413086]",1.0
1788137071,"[-36.69001388549805, -57.25362777709961]",
8296935,"[-20.037872314453125, 15.573287010192871]",2.0
5092431408,"[19.4991455078125, 30.92103385925293]",2.0
6606006806,"[11.82392406463623, 38.47713851928711]",2.0
8050235297,"[0.2023157775402069, 55.99276351928711]",2.0
9564136506,"[2.0879974365234375, 62.87929916381836]",2.0
8514480175,"[59.693424224853516, 50.17242431640625]",2.0
435574561,"[25.171947479248047, 54.6319580078125]",2.0
626033120,"[9.070788383483887, 37.593814849853516]",2.0
2542383211,"[1.9706355333328247, 25.7172794342041]",2.0
4049441312,"[-12.224201202392578, 43.87789535522461]",1.0
6060233942,"[41.07779312133789, 3.712059259414673]",2.0
6985056365,"[-31.20940399169922, 71.35645294189453]",2.0
5301474754,"[6.601630687713623, 53.83335876464844]",1.0
4969513428,"[82.93721008300781, -28.900165557861328]",2.0
468145677,"[61.75286102294922, 55.866539001464844]",1.0
5237821420,"[41.65174102783203, 29.83096694946289]",2.0
439915254,"[-4.862257480621338, 53.55088806152344]",1.0
7346357685,"[23.854877471923828, 42.007354736328125]",2.0
1269105189,"[48.71060562133789, 58.17732238769531]",1.0
5700020874,"[-41.06245422363281, 56.065860748291016]",1.0
3721053399,"[11.604657173156738, 77.93668365478516]",1.0
7991069385,"[-10.000852584838867, 40.774166107177734]",1.0
3476095244,"[55.85915756225586, 11.662814140319824]",2.0
4878347863,"[29.314727783203125, 59.6445426940918]",1.0
6062692786,"[-45.8336296081543, 77.57498931884766]",2.0
884819412,"[40.95331573486328, 67.01201629638672]",1.0
7996982343,"[-81.0194320678711, 37.177120208740234]",
8162919871,"[31.918771743774414, 6.649996280670166]",2.0
1029330780,"[-8.870184898376465, 87.4198989868164]",1.0
5895948810,"[4.949048042297363, 60.23310470581055]",1.0
4044861331,"[23.224695205688477, 21.829957962036133]",1.0
4393915861,"[-68.8969955444336, 57.76982498168945]",2.0
7826234723,"[68.0718002319336, -37.12540054321289]",2.0
8910534251,"[1.6995151042938232, 74.08448028564453]",2.0
